Cycle,Avg_Voltage,Avg_Current,Avg_Temperature,Capacity,SoH
1,3.556946062,-1.990533351,32.14277786,2.035337591,1
2,3.561475801,-1.990277542,32.29307516,2.025140246,0.994989851
3,3.56675247,-1.989946785,32.24414709,2.013326371,0.98918547
4,3.568795337,-1.989600928,32.14711742,2.013284666,0.989164979
5,3.563970503,-1.989548361,32.06687277,2.000528338,0.982897553
6,3.573551239,-1.990104035,32.03447836,2.013899076,0.989466851
7,3.571139134,-1.990088622,32.11157497,2.013101106,0.989074793
8,3.568150746,-1.989117052,32.11257624,1.968789826,0.96730382
9,3.569283416,-1.989211664,32.03566207,1.968166176,0.966997409
10,3.563388513,-1.989191243,31.99527969,1.957230792,0.961624647
11,3.56665872,-1.98913177,31.87412757,1.945599151,0.955909801
12,3.568703597,-1.988780551,32.12095971,1.934750504,0.950579655
13,3.569207084,-1.988732087,32.11021169,1.923279954,0.944943955
14,3.56592713,-1.988720029,31.98906128,1.911889931,0.939347821
15,3.561241727,-1.988787404,31.87881445,1.901066714,0.934030169
16,3.557881988,-1.98859109,31.76745071,1.889198995,0.928199333
17,3.562824372,-1.988489246,31.78991635,1.878278372,0.922833824
18,3.559195328,-1.988347427,31.82883467,1.867569716,0.917572458
19,3.558090617,-1.977454987,31.89044947,1.867589257,0.917582059
20,3.565899462,-1.989234783,31.51177054,1.979626548,0.972628107
21,3.570814209,-1.989047487,31.8744885,1.957549908,0.961781435
22,3.566681783,-1.988682951,31.53911454,1.945815017,0.95601586
23,3.566839275,-1.988544732,31.22086683,1.924246112,0.945418647
24,3.571051969,-1.988563945,31.11900515,1.945981133,0.956097476
25,3.566630847,-1.988056393,31.03324408,1.901407931,0.934197815
26,3.552739224,-1.977296968,31.00124922,1.878674214,0.923028308
27,3.556095976,-1.977169365,30.92143474,1.868306133,0.917934273
28,3.550450086,-1.966038508,30.92936025,1.856024407,0.911900028
29,3.546007084,-1.944599048,31.00810966,1.845199796,0.906581692
30,3.554257955,-1.976915694,30.96779499,1.857228891,0.912491814
31,3.55585747,-1.999755255,31.10097217,1.924776089,0.945679035
32,3.553730673,-1.988434441,31.30736892,1.882231753,0.924776195
33,3.545265,-1.9771311,31.13133999,1.855276688,0.91153266
34,3.538408779,-1.965705769,30.82871378,1.839250892,0.903658882
35,3.529768831,-1.95424947,30.76153307,1.818539607,0.893483035
36,3.530067684,-1.949060573,31.30305693,1.813477006,0.890995682
37,3.524888288,-1.937354712,31.06432145,1.797101845,0.882950255
38,3.519092689,-1.931260409,30.96654665,1.781004629,0.875041387
39,3.515181023,-1.925413983,30.8264557,1.771013042,0.870132331
40,3.514029113,-1.919844487,31.08076948,1.760471245,0.864952946
41,3.514139684,-1.908733159,31.69428782,1.750291379,0.859951384
42,3.509578354,-1.902768019,31.87558178,1.739492504,0.854645692
43,3.511070869,-1.909324757,31.54328814,1.754676655,0.862105954
44,3.515917932,-1.930637217,31.42098341,1.765939094,0.867639404
45,3.505853407,-1.907114152,31.1583715,1.733788742,0.851843325
46,3.501037935,-1.895354136,31.15661422,1.713325912,0.841789549
47,3.497407663,-1.889271381,31.20661138,1.702407781,0.836425264
48,3.538887277,-1.981935992,33.61169283,1.823719462,0.896027995
49,3.53274303,-1.965327708,32.85630077,1.808128405,0.888367813
50,3.52121476,-1.94706366,32.21098156,1.775761095,0.872465139
51,3.509311144,-1.924162843,31.96509008,1.744740984,0.85722437
52,3.50716092,-1.912447044,31.74480184,1.729207034,0.849592245
53,3.500928919,-1.895020997,31.87656407,1.708108655,0.839226211
54,3.49730199,-1.883708244,32.24289319,1.697595424,0.834060861
55,3.49290383,-1.871665199,32.07305566,1.682063452,0.826429709
56,3.488659225,-1.865480935,32.03014093,1.671476832,0.821228301
57,3.48229308,-1.859290358,31.98493587,1.660759139,0.815962495
58,3.477575664,-1.848156299,32.23677365,1.651121015,0.811227102
59,3.478743651,-1.841574247,32.56097148,1.640134926,0.805829427
60,3.474015246,-1.829753394,32.48984986,1.629199942,0.800456862
61,3.471838772,-1.81708607,32.42612199,1.60884963,0.790458368
62,3.463180131,-1.811156077,32.29984271,1.60352449,0.787842025
63,3.463469392,-1.81130563,32.61075759,1.598971214,0.785604915
64,3.460218052,-1.803802476,32.25699352,1.587627312,0.78003144
65,3.462574877,-1.798243995,32.47193403,1.582971974,0.777744184
66,3.453707794,-1.785796381,32.40219271,1.567137637,0.769964474
67,3.451403535,-1.785074819,32.30987416,1.561344614,0.767118251
68,3.450781146,-1.778591666,32.35440527,1.551171189,0.762119855
69,3.446105572,-1.772787471,32.47313638,1.540674161,0.756962465
70,3.441815253,-1.760180768,32.52334649,1.525313874,0.749415665
71,3.445008016,-1.765302788,32.51826482,1.530157032,0.7517952
72,3.441164688,-1.759348649,32.54370724,1.524656683,0.749092775
73,3.443620591,-1.75261679,32.5622231,1.514549299,0.744126825
74,3.43994327,-1.751694985,32.5897802,1.509391505,0.741592702
75,3.436027193,-1.75104297,32.57089564,1.503997433,0.738942493
76,3.436309312,-1.738874611,32.53785435,1.493520192,0.733794825
77,3.430470228,-1.738622547,32.65645091,1.487632302,0.730901993
78,3.441731109,-1.787076281,33.18078523,1.530287621,0.751859361
79,3.435542921,-1.761268221,32.71220836,1.504076009,0.738981099
80,3.427233684,-1.75455323,32.54394389,1.488759361,0.731455739
81,3.430753652,-1.736425016,32.66554107,1.478277929,0.726306012
82,3.430880434,-1.737168676,33.16092287,1.478459982,0.726395458
83,3.431984614,-1.735818357,33.41444555,1.473214845,0.723818423
84,3.42691359,-1.729730266,33.35416795,1.467516494,0.721018715
85,3.422042236,-1.72786711,33.13634596,1.451629266,0.713213018
86,3.420268714,-1.726907315,32.92241763,1.451923772,0.713357714
87,3.424820811,-1.721199593,33.20338483,1.447148469,0.711011518
88,3.423499088,-1.721141115,33.53395065,1.446853811,0.710866746
89,3.424742096,-1.720054773,33.57679341,1.441674193,0.708321902
90,3.450702139,-1.821048134,33.2240884,1.593586659,0.78295938
91,3.448047543,-1.821445703,33.37083345,1.546390238,0.759770882
92,3.439948189,-1.789915994,33.43366634,1.514705592,0.744203614
93,3.434112915,-1.776934593,33.28676739,1.498978608,0.736476649
94,3.432560094,-1.764003212,33.14347737,1.483111075,0.728680628
95,3.427061489,-1.757170101,33.11021542,1.472966483,0.723696398
96,3.427340317,-1.750267021,33.18991802,1.46276044,0.718681975
97,3.423482198,-1.743961424,33.26265399,1.451836468,0.71331482
98,3.42209577,-1.736850856,33.29997884,1.446867064,0.710873258
99,3.421883545,-1.736004523,33.31663548,1.441380399,0.708177555
100,3.419577741,-1.729690117,33.39150631,1.431210745,0.703181011
101,3.417528179,-1.728795463,33.41522427,1.426024718,0.700633017
102,3.419786054,-1.721672998,33.39690851,1.42048765,0.697912551
103,3.41713693,-1.722816223,33.73731994,1.420700623,0.698017189
104,3.430534714,-1.748663902,34.08965317,1.452255804,0.713520848
105,3.425084418,-1.734516072,33.99872866,1.431557633,0.703351444
106,3.417133986,-1.727157023,33.90739711,1.415015751,0.695224103
107,3.417521467,-1.730517903,33.70518418,1.409731151,0.692627679
108,3.418162324,-1.714144364,33.74588329,1.404917318,0.690262551
109,3.420331936,-1.706782327,34.01657213,1.395164297,0.685470707
110,3.419291631,-1.706359652,34.17502337,1.394534383,0.685161218
111,3.41435233,-1.705269659,33.97610968,1.389317118,0.682597877
112,3.412701167,-1.704626557,33.84150372,1.383837947,0.679905856
113,3.410409523,-1.698550311,34.10084642,1.373681424,0.674915763
114,3.41441932,-1.698234759,34.34663683,1.378605989,0.677335296
115,3.413171003,-1.697116581,34.21623153,1.37376003,0.674954384
116,3.410701926,-1.69591994,34.04161702,1.368258058,0.672251161
117,3.408905921,-1.695316312,33.89021287,1.363302404,0.669816354
118,3.413408026,-1.689038351,34.11676241,1.358096614,0.66725865
119,3.411221045,-1.689240311,34.49049359,1.353269091,0.664886797
120,3.415521085,-1.710200761,34.23744801,1.384160574,0.680064369
121,3.422983836,-1.730244919,34.41428886,1.405146779,0.69037529
122,3.414757022,-1.715246592,34.1644518,1.378719023,0.677390831
123,3.414358716,-1.701340493,33.87714681,1.368265778,0.672254954
124,3.40918867,-1.700436613,33.83956625,1.35731513,0.666874692
125,3.411930367,-1.687353364,33.8183048,1.352493464,0.664505716
126,3.409441718,-1.691929497,33.81262114,1.347409915,0.662008072
127,3.40818961,-1.685295294,33.79894614,1.337007513,0.656897175
128,3.407378514,-1.678742884,33.70272375,1.331235297,0.654061175
129,3.408586264,-1.671213751,33.63562652,1.325930378,0.651454768
130,3.404843616,-1.676893125,33.69072406,1.321578744,0.649316727
131,3.408105737,-1.670118658,33.71317034,1.321225074,0.649142963
132,3.409172854,-1.663475341,33.65376593,1.31564853,0.646403101
133,3.411081762,-1.664587555,33.98357807,1.32090257,0.64898451
134,3.416748625,-1.691838461,33.81634814,1.347432877,0.662019354
135,3.416968918,-1.671198141,33.6069203,1.326012807,0.651495267
136,3.410576391,-1.663276941,33.47350598,1.310118678,0.64368618
137,3.411333528,-1.655908574,33.20917873,1.305216202,0.6412775
138,3.408128335,-1.656100922,33.58088964,1.300406195,0.638914252
139,3.412573242,-1.649325951,33.76400862,1.300235736,0.638830502
140,3.407693687,-1.648113108,33.57003564,1.289506672,0.63355911
141,3.407349961,-1.640254138,33.2720509,1.279253057,0.628521314
142,3.409292164,-1.63391511,33.12740933,1.279207817,0.628499087
143,3.409549235,-1.634024457,33.43911677,1.274036761,0.625958449
144,3.410318915,-1.632488008,33.48287477,1.274127392,0.626002978
145,3.409269479,-1.619261004,33.22136307,1.263763943,0.620911218
146,3.409437444,-1.617824298,32.98562739,1.258137369,0.618146775
147,3.403885092,-1.618101573,32.97018278,1.253259864,0.615750365
148,3.406592911,-1.61809853,33.31018716,1.253231332,0.615736346
149,3.409593002,-1.610353505,33.23406653,1.248087496,0.613209082
150,3.409409923,-1.61164441,33.11765671,1.253435428,0.615836623
151,3.419548928,-1.642036498,33.78417037,1.289804877,0.633705624
152,3.41517999,-1.619480639,33.80643956,1.263540202,0.62080129
153,3.415459493,-1.604864356,33.63735785,1.247976171,0.613154386
154,3.413033646,-1.591640078,33.58195934,1.232120288,0.60536409
155,3.409452436,-1.590110508,33.56245584,1.227113767,0.602904291
156,3.413849601,-1.576775448,33.51112675,1.221739758,0.600263938
157,3.410900672,-1.575262673,33.53675907,1.211102679,0.595037739
158,3.410574414,-1.568464001,33.4980307,1.205615977,0.592342018
